Hours_Studied,Attendance,Parental_Involvement,Motivation_Level,Teacher_Quality,Exam_Score,Perf
23,84,Low,Low,Medium,67,Low
19,64,Low,Low,Medium,61,Low
24,98,Medium,Medium,Medium,74,Medium
29,89,Low,Medium,Medium,71,Medium
19,92,Medium,Medium,High,70,Low
19,88,Medium,Medium,Medium,71,Medium
29,84,Medium,Low,Medium,67,Low
25,78,Low,Medium,High,66,Low
17,94,Medium,High,Low,69,Low
23,98,Medium,Medium,High,72,Medium
17,80,Low,Medium,High,68,Low
17,97,Medium,Low,High,71,Medium
21,83,Medium,Low,Medium,70,Low
9,82,Medium,Medium,Medium,66,Low
10,78,Medium,Medium,Medium,65,Low
17,68,Medium,Medium,Medium,64,Low
14,60,Medium,Low,Medium,60,Low
22,70,Low,Medium,High,65,Low
15,80,Medium,Low,Medium,67,Low
12,75,Medium,Medium,Medium,66,Low
29,78,Medium,High,Medium,69,Low
19,99,Medium,Medium,High,72,Medium
20,74,Medium,Low,Medium,66,Low
11,78,High,High,Medium,66,Low
17,65,Low,Medium,Medium,63,Low
21,62,High,High,High,64,Low
13,91,Low,Medium,Medium,65,Low
22,83,High,Medium,Medium,71,Medium
16,90,Medium,Medium,Medium,66,Low
18,66,High,Low,Medium,64,Low
16,83,Low,Medium,Low,63,Low
31,70,Medium,Medium,Medium,69,Low
20,69,Medium,Medium,High,67,Low
14,60,High,Medium,Medium,61,Low
25,65,High,Medium,Medium,68,Low
13,72,Low,Low,Medium,61,Low
21,65,Medium,Low,High,64,Low
8,99,Medium,Low,Medium,67,Low
12,72,Low,Medium,Medium,63,Low
21,65,Low,Low,High,64,Low
24,68,High,Low,High,67,Low
21,84,Medium,Low,High,65,Low
19,63,Low,Medium,Medium,64,Low
18,94,Medium,Medium,Medium,70,Low
11,98,Medium,Low,Medium,68,Low
16,70,Medium,Medium,Medium,65,Low
17,78,Medium,Medium,High,68,Low
26,61,Medium,Medium,Medium,64,Low
22,86,Low,Low,High,68,Low
9,77,Medium,Medium,High,63,Low
22,71,Low,Low,Low,64,Low
18,68,High,Medium,Medium,64,Low
16,86,Low,Medium,Medium,67,Low
24,77,High,Medium,Medium,67,Low
26,67,Medium,Low,High,66,Low
26,88,Medium,Medium,High,72,Medium
15,83,Medium,Low,High,65,Low
18,94,Medium,High,Medium,71,Medium
22,65,High,Medium,High,66,Low
26,91,Medium,Medium,Medium,68,Low
17,87,Medium,Medium,Medium,70,Low
19,65,Medium,Low,Medium,62,Low
13,88,Low,High,High,68,Low
13,78,Medium,High,Medium,67,Low
25,98,Low,Medium,High,71,Medium
28,66,Medium,Medium,Medium,68,Low
20,86,Medium,Medium,Medium,69,Low
26,75,Low,High,High,70,Low
22,98,Medium,Low,High,69,Low
16,73,Medium,Medium,Medium,65,Low
22,98,Medium,Medium,Medium,70,Low
29,96,Medium,Medium,Medium,71,Medium
20,71,Medium,Medium,Low,65,Low
29,92,Low,Medium,Medium,72,Medium
4,100,High,High,High,69,Low
25,70,Medium,Medium,Medium,66,Low
21,77,Low,Medium,Medium,68,Low
18,81,High,Medium,Medium,65,Low
21,72,Medium,Medium,Medium,64,Low
8,61,Medium,Medium,Medium,60,Low
19,69,Medium,High,Medium,65,Low
22,71,High,High,Low,66,Low
29,78,High,Low,High,74,Medium
17,67,Medium,High,Medium,62,Low
15,95,Medium,Medium,Medium,70,Low
17,88,Medium,Low,Medium,69,Low
25,63,Medium,Medium,High,67,Low
22,86,Low,Medium,Medium,64,Low
17,86,Medium,High,Medium,71,Medium
23,98,Medium,Low,Medium,68,Low
21,60,High,Medium,High,64,Low
26,70,Medium,Medium,Low,63,Low
16,97,Medium,Low,Medium,71,Medium
18,97,High,Low,Medium,69,Low
18,89,High,Medium,Medium,100,High
11,91,Medium,Medium,Medium,68,Low
22,64,Low,Low,Medium,62,Low
22,81,Medium,Low,Medium,68,Low
20,69,High,Medium,Medium,66,Low
19,67,Low,High,Medium,64,Low
12,92,Medium,High,High,67,Low
17,65,Medium,Medium,High,65,Low
18,79,Medium,Medium,High,65,Low
15,98,High,High,High,69,Low
19,67,Medium,High,Low,63,Low
22,99,Medium,Low,Medium,72,Medium
31,100,Medium,Medium,High,76,Medium
21,82,Medium,High,Medium,69,Low
22,67,Medium,High,High,67,Low
20,73,High,Medium,High,69,Low
8,77,High,Medium,Medium,63,Low
20,72,Medium,Medium,High,67,Low
20,71,Low,High,Medium,66,Low
35,99,High,Low,High,79,Medium
19,66,Medium,Medium,Medium,64,Low
22,89,High,Medium,High,73,Medium
20,60,Low,High,High,63,Low
13,84,Medium,Medium,High,65,Low
27,97,Low,Medium,Medium,73,Medium
25,72,High,Low,Medium,70,Low
25,67,High,High,High,68,Low
15,86,Medium,Medium,Medium,65,Low
28,89,Low,High,Medium,71,Medium
12,88,Low,Low,Medium,64,Low
24,73,Medium,Medium,Medium,68,Low
33,70,Medium,Low,High,69,Low
14,98,Medium,Medium,High,69,Low
17,97,Medium,Medium,,69,Low
21,78,Medium,Medium,Low,67,Low
17,94,Low,Low,Medium,68,Low
11,78,Medium,Medium,Medium,64,Low
20,77,Medium,Low,High,66,Low
14,66,High,Medium,High,63,Low
23,77,Medium,Medium,High,66,Low
14,81,Medium,Medium,High,66,Low
29,61,Medium,Low,Medium,67,Low
15,78,High,Low,Medium,65,Low
18,91,Low,Medium,Medium,68,Low
25,87,Medium,High,High,68,Low
13,85,High,Medium,Medium,65,Low
